scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,130,Uganda,45848022,1182,6.0,4,,1045,,133,,26,0.09,275355,6006,5
2020-08-08,20:00:00,2020-08-08,,130,Uganda,45871818,1267,13.0,6,,1115,2.0,146,,28,0.1,290701,6337,5
2020-08-12,20:00:00,2020-08-12,,130,Uganda,45887681,1313,,9,,1138,,166,,29,0.2,301286,6566,5
2020-08-16,20:00:00,2020-08-16,,130,Uganda,45903545,1434,,13,,1142,,279,,31,0.3,312792,6814,5
2020-08-17,20:00:00,2020-08-17,,130,Uganda,45907511,1560,60.0,15,2.0,1165,23.0,380,,34,0.3,325637,7093,5
2020-08-18,20:00:00,2020-08-18,,130,Uganda,45911477,1603,43.0,15,,1165,,423,,35,0.3,329542,7178,5
2020-08-19,20:00:00,2020-08-19,,130,Uganda,45915442,1603,,15,,1165,,423,,35,0.3,329542,7177,5
2020-08-20,17:53:00,2020-08-20,,130,Uganda,45919408,1750,94.0,19,3.0,1194,6.0,537,,38,0.4,336713,7333,5
2020-08-23,21:09:00,2020-08-23,,130,Uganda,45931306,2263,97.0,20,,1199,,1044,,49,0.4,340844,7421,5
2020-08-24,17:10:00,2020-08-24,,130,Uganda,45935272,2362,99.0,22,2.0,1248,49.0,1092,,51,0.5,351845,7660,5
2020-08-25,23:00:00,2020-08-25,,130,Uganda,45939238,2426,64.0,25,3.0,1267,19.0,1134,,53,0.5,355057,7729,5
2020-08-26,22:59:00,2020-08-26,,130,Uganda,45943204,2524,98.0,26,1.0,1268,1.0,1230,,55,0.6,359289,7820,5
2020-08-27,23:00:00,2020-08-27,,130,Uganda,45947170,2679,155.0,28,2.0,1268,,1383,,58,0.6,363802,7918,5
2020-08-28,23:01:00,2020-08-28,,130,Uganda,45951136,2756,77.0,28,,1288,20.0,1440,,60,0.6,367423,7996,5
2020-08-29,12:29:00,2020-08-29,,130,Uganda,45955101,2756,,28,,1288,,1440,,60,0.6,367423,7995,5
2020-08-30,23:00:00,2020-08-30,,130,Uganda,45959067,2928,81.0,30,1.0,1288,,1610,,64,0.7,367423,7995,5
2020-08-31,18:58:00,2020-08-31,,130,Uganda,45963033,2928,,30,,1288,,1610,,64,0.7,367423,7994,5
2020-09-01,23:00:00,2020-09-01,,130,Uganda,45966999,3037,65.0,32,,1489,201.0,1516,,66,0.7,381749,8305,5
2020-09-02,23:01:00,2020-09-02,,130,Uganda,45970965,3112,75.0,32,,1528,39.0,1552,,68,0.7,385882,8394,5
2020-09-03,23:01:00,2020-09-03,,130,Uganda,45974931,3288,176.0,33,1.0,1532,4.0,1723,,72,0.7,391335,8512,5
2020-09-04,07:01:00,2020-09-04,,130,Uganda,45978897,3288,,33,,1532,,1723,,72,0.7,391335,8511,5
2020-09-05,23:31:00,2020-09-05,,130,Uganda,45982863,3539,186.0,39,4.0,1564,,1936,,77,0.8,395875,8609,5
2020-09-06,18:30:00,2020-09-06,,130,Uganda,45986829,3539,,39,,1564,,1936,,77,0.8,395875,8608,5
2020-09-07,23:39:00,2020-09-07,,130,Uganda,45990795,3776,109.0,44,3.0,1741,177.0,1991,,82,1.0,411666,8951,5
2020-09-08,22:10:00,2020-09-08,,130,Uganda,45994760,3900,124.0,46,2.0,1817,76.0,2037,,85,1.0,415908,9043,5
2020-09-10,22:01:00,2020-09-10,,130,Uganda,46002692,4291,190.0,48,2.0,1998,122.0,2245,,93,1.0,420198,9134,5
2020-09-11,22:00:00,2020-09-11,,130,Uganda,46006658,4377,86.0,49,1.0,1998,,2330,,95,1.0,423214,9199,5
2020-09-12,22:22:00,2020-09-12,,130,Uganda,46010624,4703,326.0,52,3.0,1998,,2653,,102,1.0,423214,9198,5
2020-09-13,22:01:00,2020-09-13,,130,Uganda,46014590,4799,96.0,55,3.0,2256,258.0,2488,,104,1.0,423214,9197,5
2020-09-14,22:04:00,2020-09-14,,130,Uganda,46018556,4978,179.0,56,1.0,2317,61.0,2605,,108,1.0,434243,9436,5
2020-09-15,21:00:00,2020-09-15,,130,Uganda,46022522,5123,145.0,58,2.0,2333,16.0,2732,,111,1.0,436246,9479,5
2020-09-16,21:01:00,2020-09-16,,130,Uganda,46026488,5266,143.0,60,2.0,2404,71.0,2802,,114,1.0,439025,9539,5
2020-09-18,20:01:00,2020-09-18,,130,Uganda,46034419,5594,214.0,61,1.0,2544,55.0,2989,,122,1.0,444346,9652,5
2020-09-19,21:00:00,2020-09-19,,130,Uganda,46038385,6017,423.0,63,2.0,2581,37.0,3373,,131,1.0,444346,9652,5
2020-09-20,22:31:00,2020-09-20,,130,Uganda,46042351,6287,270.0,63,,2616,35.0,3608,,137,1.0,451737,9811,5
2020-09-21,21:01:00,2020-09-21,,130,Uganda,46046317,6468,181.0,63,,2731,115.0,3674,,140,1.0,453593,9851,5
2020-09-22,21:01:00,2020-09-22,,130,Uganda,46050283,6712,244.0,64,1.0,2778,47.0,3870,,146,1.0,457128,9927,5
2020-09-23,19:58:00,2020-09-23,,130,Uganda,46054249,6879,167.0,69,5.0,2961,183.0,3849,,149,1.0,460690,10003,5
2020-09-24,21:00:00,2020-09-24,,130,Uganda,46058215,7064,185.0,70,1.0,3226,265.0,3768,,153,2.0,463618,10066,5
2020-09-25,21:00:00,2020-09-25,,130,Uganda,46062181,7218,154.0,71,1.0,3611,385.0,3536,,157,2.0,465600,10108,5
2020-09-26,21:00:00,2020-09-26,,130,Uganda,46066147,7364,146.0,71,,3647,36.0,3646,,160,2.0,469003,10181,5
2020-09-27,22:45:00,2020-09-27,,130,Uganda,46070113,7530,166.0,73,2.0,3647,,3810,,163,2.0,473456,10277,5
2020-09-28,22:00:00,2020-09-28,,130,Uganda,46074078,7777,247.0,75,2.0,4033,386.0,3669,,169,2.0,477473,10363,5
2020-09-29,21:35:00,2020-09-29,,130,Uganda,46078044,7777,,75,,4033,,3669,,169,2.0,477473,10362,5
2020-09-30,22:00:00,2020-09-30,,130,Uganda,46082010,8129,112.0,75,,4260,227.0,3794,,176,2.0,480037,10417,5
2020-10-01,21:31:00,2020-10-01,,130,Uganda,46085976,8287,158.0,75,,4430,170.0,3782,,180,2.0,482658,10473,5
2020-10-02,22:36:00,2020-10-02,,130,Uganda,46089942,8491,204.0,79,4.0,4470,40.0,3942,,184,2.0,486658,10559,5
2020-10-03,22:24:00,2020-10-03,,130,Uganda,46093908,8662,171.0,79,,4546,76.0,4037,,188,2.0,489264,10615,5
2020-10-04,21:01:00,2020-10-04,,130,Uganda,46097874,8808,146.0,81,2.0,4736,190.0,3991,,191,2.0,491547,10663,5
2020-10-05,22:13:00,2020-10-05,,130,Uganda,46101840,8965,157.0,82,1.0,5078,342.0,3805,,194,2.0,493595,10707,5
2020-10-06,23:01:00,2020-10-06,,130,Uganda,46105806,9082,117.0,84,2.0,5457,379.0,3541,,197,2.0,495696,10751,5
2020-10-07,23:01:00,2020-10-07,,130,Uganda,46109772,9260,178.0,85,1.0,5588,131.0,3587,,201,2.0,497498,10789,5
2020-10-08,23:59:00,2020-10-08,,130,Uganda,46113737,9442,182.0,85,,5781,193.0,3576,,205,2.0,501040,10865,5
2020-10-09,23:00:00,2020-10-09,,130,Uganda,46117703,9538,96.0,86,1.0,5857,76.0,3595,,207,2.0,502829,10903,5
2020-10-10,23:00:00,2020-10-10,,130,Uganda,46121669,9701,163.0,93,7.0,6022,165.0,3586,,210,2.0,505662,10964,5
2020-10-12,23:10:00,2020-10-12,,130,Uganda,46129601,9864,63.0,94,1.0,6109,,3661,,214,2.0,508899,11032,5
2020-10-13,23:01:00,2020-10-13,,130,Uganda,46133567,9945,81.0,95,1.0,6347,238.0,3503,,216,2.0,511156,11080,5
2020-10-14,23:01:00,2020-10-14,,130,Uganda,46137533,10069,124.0,95,,6531,184.0,3443,,218,2.0,513414,11128,5
2020-10-15,14:09:00,2020-10-15,11:06:00,130,Uganda,46141499,10069,,95,,6531,,3443,,218,2.0,513414,11127,5
2020-10-16,22:08:00,2020-10-16,19:06:00,130,Uganda,46145465,10334,217.0,96,,6901,176.0,3337,,224,2.0,518558,11237,5
2020-10-17,23:01:00,2020-10-17,19:58:00,130,Uganda,46149431,10455,121.0,96,,6901,,3458,,227,2.0,520450,11277,5
2020-10-18,14:32:00,2020-10-18,11:25:00,130,Uganda,46153396,10590,135.0,97,1.0,6992,91.0,3501,,229,2.0,522286,11316,5
