Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,55,Switzerland,8660089,35550,,1981,,31300,,2269,25,4105,229.0,801742,92579.0
2020-08-08 20:00:00,,2020-08-08,55,Switzerland,8661125,36451,901.0,1986,5.0,31900,600.0,2565,21,4209,229.0,835724,96491.0
2020-08-12 20:00:00,,2020-08-12,55,Switzerland,8661816,36895,444.0,1990,4.0,32700,800.0,2205,22,4259,230.0,847325,97823.0
2020-08-16 20:00:00,,2020-08-16,55,Switzerland,8662507,38124,1229.0,1991,1.0,33200,500.0,2933,26,4401,230.0,881683,101782.0
2020-08-17 20:00:00,,2020-08-17,55,Switzerland,8662679,38252,128.0,1991,0.0,33300,100.0,2961,21,4416,230.0,884472,102101.0
2020-08-18 20:00:00,,2020-08-18,55,Switzerland,8662852,38449,197.0,1992,1.0,33500,200.0,2957,15,4438,230.0,890289,102771.0
2020-08-19 20:00:00,,2020-08-19,55,Switzerland,8663025,38760,311.0,1996,4.0,33500,0.0,3264,14,4474,230.0,901074,104014.0
2020-08-20 17:53:00,,2020-08-20,55,Switzerland,8663197,39026,266.0,1998,2.0,33800,300.0,3228,15,4505,231.0,910283,105075.0
2020-08-23 21:09:00,,2020-08-23,55,Switzerland,8663715,39903,877.0,2001,3.0,34100,300.0,3802,14,4606,231.0,937448,108204.0
2020-08-24 17:10:00,,2020-08-24,55,Switzerland,8663888,40060,157.0,2001,0.0,34400,300.0,3659,16,4624,231.0,941798,108704.0
2020-08-25 23:00:00,,2020-08-25,55,Switzerland,8664061,40262,202.0,2002,1.0,34400,0.0,3860,15,4647,231.0,948439,109468.0
2020-08-26 22:59:00,,2020-08-26,55,Switzerland,8664233,40645,383.0,2003,1.0,34800,400.0,3842,18,4691,231.0,962895,111134.0
2020-08-27 23:00:00,,2020-08-27,55,Switzerland,8664406,41006,361.0,2003,0.0,34800,0.0,4203,17,4733,231.0,975563,112594.0
2020-08-28 23:01:00,,2020-08-28,55,Switzerland,8664579,41346,340.0,2004,1.0,34800,0.0,4542,18,4772,231.0,988383,114072.0
2020-08-29 12:29:00,,2020-08-29,55,Switzerland,8664751,41346,0.0,2004,0.0,34800,0.0,4542,18,4772,231.0,988383,114069.0
2020-08-30 23:00:00,,2020-08-30,55,Switzerland,8664924,42014,668.0,2005,1.0,35800,1000.0,4209,18,4849,231.0,1010948,116671.0
2020-08-31 18:58:00,,2020-08-31,55,Switzerland,8665097,42177,163.0,2006,1.0,35800,0.0,4371,22,4867,232.0,1015686,117216.0
2020-09-01 23:00:00,,2020-09-01,55,Switzerland,8665269,42393,216.0,2011,5.0,36300,500.0,4082,16,4892,232.0,1023203,118081.0
2020-09-02 23:01:00,,2020-09-02,55,Switzerland,8665442,42763,370.0,2011,0.0,36300,0.0,4452,13,4935,232.0,1039741,119987.0
2020-09-03 23:01:00,,2020-09-03,55,Switzerland,8665615,43127,364.0,2013,2.0,36500,200.0,4614,12,4977,232.0,1054652,121705.0
2020-09-04 07:01:00,,2020-09-04,55,Switzerland,8665787,43127,0.0,2013,0.0,36500,0.0,4614,12,4977,232.0,1054652,121703.0
2020-09-05 23:31:00,,2020-09-05,55,Switzerland,8665960,43957,830.0,2013,0.0,37100,600.0,4844,14,5072,232.0,1085932,125310.0
2020-09-06 18:30:00,,2020-09-06,55,Switzerland,8666133,44401,444.0,2013,0.0,37100,0.0,5288,25,5124,232.0,1098540,126762.0
2020-09-07 23:39:00,,2020-09-07,55,Switzerland,8666305,44592,191.0,2014,1.0,37700,600.0,4878,25,5145,232.0,1103149,127292.0
2020-09-08 22:10:00,,2020-09-08,55,Switzerland,8666478,44837,245.0,2017,3.0,37700,0.0,5120,25,5174,233.0,1111984,128309.0
2020-09-09 22:01:00,,2020-09-09,55,Switzerland,8666651,45306,469.0,2019,2.0,38100,400.0,5187,23,5228,233.0,1129549,130333.0
2020-09-10 22:01:00,,2020-09-10,55,Switzerland,8666823,45711,405.0,2020,1.0,38100,0.0,5591,24,5274,233.0,1145949,132222.0
2020-09-11 22:00:00,,2020-09-11,55,Switzerland,8666996,46239,528.0,2020,0.0,38100,0.0,6119,26,5335,233.0,1162236,134099.0
2020-09-12 22:22:00,,2020-09-12,55,Switzerland,8667169,46704,465.0,2020,0.0,38500,400.0,6184,26,5389,233.0,1173798,135430.0
2020-09-13 22:01:00,,2020-09-13,55,Switzerland,8667341,47179,475.0,2021,1.0,38900,400.0,6258,26,5443,233.0,1186824,136931.0
2020-09-14 22:04:00,,2020-09-14,55,Switzerland,8667514,47436,257.0,2025,4.0,39600,700.0,5811,26,5473,234.0,1193180,137661.0
2020-09-15 21:00:00,,2020-09-15,55,Switzerland,8667687,47751,315.0,2028,3.0,39600,0.0,6123,25,5509,234.0,1203997,138906.0
2020-09-16 21:01:00,,2020-09-16,55,Switzerland,8667859,48265,514.0,2039,11.0,39900,300.0,6326,27,5568,235.0,1221858,140964.0
2020-09-18 20:01:00,,2020-09-18,55,Switzerland,8668205,49283,1018.0,2045,6.0,39900,0.0,7338,29,5685,236.0,1251614,144391.0
2020-09-19 21:00:00,,2020-09-19,55,Switzerland,8668377,49283,0.0,2045,0.0,40500,600.0,6738,29,5685,236.0,1251614,144389.0
2020-09-20 22:31:00,,2020-09-20,55,Switzerland,8668550,49283,0.0,2045,0.0,40500,0.0,6738,29,5685,236.0,1251614,144386.0
2020-09-21 21:01:00,,2020-09-21,55,Switzerland,8668723,50378,1095.0,2050,5.0,40500,0.0,7828,37,5811,236.0,1279247,147570.0
2020-09-22 21:01:00,,2020-09-22,55,Switzerland,8668895,50664,286.0,2054,4.0,42100,1600.0,6510,37,5844,237.0,1287196,148484.0
2020-09-23 19:58:00,,2020-09-23,55,Switzerland,8669068,51101,437.0,2060,6.0,42100,0.0,6941,35,5895,238.0,1300092,149969.0
2020-09-24 21:00:00,,2020-09-24,55,Switzerland,8669241,51492,391.0,2061,1.0,42300,200.0,7131,34,5940,238.0,1313944,151564.0
2020-09-25 21:00:00,,2020-09-25,55,Switzerland,8669414,51864,372.0,2064,3.0,42600,300.0,7200,35,5982,238.0,1326290,152985.0
2020-09-26 21:00:00,,2020-09-26,55,Switzerland,8669586,51864,0.0,2064,0.0,42600,0.0,7200,35,5982,238.0,1326290,152982.0
2020-09-27 22:45:00,,2020-09-27,55,Switzerland,8669759,51864,0.0,2064,0.0,42700,100.0,7100,38,5982,238.0,1326290,152979.0
2020-09-28 22:00:00,,2020-09-28,55,Switzerland,8669932,52646,782.0,2065,1.0,42700,0.0,7881,31,6072,238.0,1349159,155614.0
2020-09-29 21:35:00,,2020-09-29,55,Switzerland,8670104,52871,225.0,2069,4.0,42700,0.0,8102,31,6098,239.0,1355118,156298.0
2020-09-30 22:00:00,,2020-09-30,55,Switzerland,8670277,53282,411.0,2074,5.0,42700,0.0,8508,29,6145,239.0,1367695,157745.0
2020-10-01 21:31:00,,2020-10-01,55,Switzerland,8670450,53832,550.0,2074,0.0,45300,2600.0,6458,31,6209,239.0,1380083,159171.0
2020-10-02 22:36:00,,2020-10-02,55,Switzerland,8670622,54384,552.0,2075,1.0,45800,500.0,6509,32,6272,239.0,1391498,160484.0
2020-10-03 22:24:00,,2020-10-03,55,Switzerland,8670795,54384,0.0,2076,1.0,45800,0.0,6508,31,6272,239.0,1391498,160481.0
2020-10-04 21:01:00,,2020-10-04,55,Switzerland,8670968,54384,0.0,2077,1.0,45800,0.0,6507,33,6272,240.0,1391498,160478.0
